127.0.0.1, 2017-08-08 15:18:07, GET, /admin/static/_2.15.3/images/save_icon.png, HTTP/1.1, 200, 0.045190
127.0.0.1, 2017-08-08 15:18:07, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.382017
127.0.0.1, 2017-08-08 15:18:07, GET, /diario_obra/appadmin/hooks, HTTP/1.1, 200, 0.543601
127.0.0.1, 2017-08-08 15:18:12, GET, /robots.txt, HTTP/1.1, 400, 0.000433
127.0.0.1, 2017-08-08 15:18:13, GET, /diario_obra/default/index, HTTP/1.1, 200, 0.856188
127.0.0.1, 2017-08-08 15:18:13, GET, /robots.txt, HTTP/1.1, 400, 0.000386
127.0.0.1, 2017-08-08 15:18:21, GET, /robots.txt, HTTP/1.1, 400, 0.000258
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/default/index, HTTP/1.1, 200, 0.252464
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.002032
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000684
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.001947
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.004729
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002556
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.002796
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000604
127.0.0.1, 2017-08-08 15:18:22, GET, /robots.txt, HTTP/1.1, 400, 0.000402
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000664
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000417
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000408
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000413
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000408
127.0.0.1, 2017-08-08 15:18:22, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000642
127.0.0.1, 2017-08-08 15:18:26, GET, /robots.txt, HTTP/1.1, 400, 0.000355
127.0.0.1, 2017-08-08 15:18:29, GET, /examples/default/examples, HTTP/1.1, 200, 3.739516
127.0.0.1, 2017-08-08 15:18:30, GET, /robots.txt, HTTP/1.1, 400, 0.000393
127.0.0.1, 2017-08-08 15:18:38, GET, /robots.txt, HTTP/1.1, 400, 0.000316
127.0.0.1, 2017-08-08 15:18:38, GET, /examples/default/index, HTTP/1.1, 200, 0.188637
127.0.0.1, 2017-08-08 15:18:38, GET, /robots.txt, HTTP/1.1, 400, 0.000396
127.0.0.1, 2017-08-08 15:18:39, GET, /robots.txt, HTTP/1.1, 400, 0.000492
127.0.0.1, 2017-08-08 15:18:39, GET, /diario_obra/default/index, HTTP/1.1, 200, 0.185733
127.0.0.1, 2017-08-08 15:18:39, GET, /robots.txt, HTTP/1.1, 400, 0.000360
127.0.0.1, 2017-08-08 20:08:19, GET, /robots.txt, HTTP/1.1, 400, 0.000486
127.0.0.1, 2017-08-08 20:08:20, GET, /, HTTP/1.1, 303, 0.001993
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/default/index, HTTP/1.1, 200, 0.385081
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001224
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000952
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000563
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000637
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000556
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000584
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000564
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000611
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000649
127.0.0.1, 2017-08-08 20:08:20, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000438
127.0.0.1, 2017-08-08 20:08:20, GET, /robots.txt, HTTP/1.1, 400, 0.000334
127.0.0.1, 2017-08-08 20:08:21, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.010962
127.0.0.1, 2017-08-08 20:08:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.035425
127.0.0.1, 2017-08-08 20:08:21, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000633
127.0.0.1, 2017-08-08 20:08:21, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000588
127.0.0.1, 2017-08-08 20:08:21, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000587
127.0.0.1, 2017-08-08 20:08:33, GET, /robots.txt, HTTP/1.1, 400, 0.000269
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/default/index, HTTP/1.1, 200, 0.089289
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.001101
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.002764
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000564
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.000447
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000497
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.001789
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000504
